"Index","Symbol","Dividend_Date","Increase_Num","Increase_Year","Price_Date","Timeframe","Open","High","Low","Close"
"76","ALRS",2024-06-14,1,2024,2024-06-13,"Before",18.7199993133545,18.9300003051758,18.25,18.7999992370605
"77","ALRS",2024-06-14,1,2024,2024-06-14,"During",18.3199996948242,18.5,18.1900005340576,18.3799991607666
"78","ALRS",2024-06-14,1,2024,2024-06-17,"After",18.2099990844727,18.5400009155273,18.1900005340576,18.5
"79","ALRS",2023-06-14,2,2023,2023-06-13,"Before",18.2099990844727,18.5,18.2000007629395,18.3500003814697
"80","ALRS",2023-06-14,2,2023,2023-06-14,"During",18.3199996948242,18.4899997711182,17.6599998474121,17.8500003814697
"81","ALRS",2023-06-14,2,2023,2023-06-15,"After",17.75,18.3500003814697,17.75,18.3099994659424
"82","ALRS",2022-06-16,3,2022,2022-06-15,"Before",23.8999996185303,24.7999992370605,23.3700008392334,23.5
"83","ALRS",2022-06-16,3,2022,2022-06-16,"During",22.9099998474121,23.2299995422363,22.3999996185303,23.0100002288818
"84","ALRS",2022-06-16,3,2022,2022-06-17,"After",22.8899993896484,24.2999992370605,22.8899993896484,24.0100002288818
"85","ALRS",2021-06-17,4,2021,2021-06-16,"Before",33.0299987792969,33.0800018310547,32.2599983215332,32.7999992370605
"86","ALRS",2021-06-17,4,2021,2021-06-17,"During",32.5499992370605,32.9300003051758,31.4400005340576,31.6000003814697
"87","ALRS",2021-06-17,4,2021,2021-06-18,"After",31.0400009155273,33.2999992370605,31,33.2999992370605
"88","ALRS",2019-12-19,5,2019,2019-12-18,"Before",23.25,23.5799999237061,23.2299995422363,23.5799999237061
"89","ALRS",2019-12-19,5,2019,2019-12-19,"During",23.25,23.25,22.8700008392334,23.1200008392334
"90","ALRS",2019-12-19,5,2019,2019-12-20,"After",23.0699996948242,23.3999996185303,22.75,23.0699996948242
"91","ANDE",2023-12-29,1,2023,2023-12-28,"Before",58.1500015258789,58.7000007629395,57.8699989318848,58.4199981689453
"92","ANDE",2023-12-29,1,2023,2023-12-29,"During",58.2099990844727,58.5800018310547,57.2099990844727,57.5400009155273
"93","ANDE",2023-12-29,1,2023,2024-01-02,"After",57.0499992370605,58.3499984741211,56.4700012207031,57.6399993896484
"94","ANDE",2022-12-30,2,2022,2022-12-29,"Before",35.1100006103516,35.9199981689453,35.1100006103516,35.439998626709
"95","ANDE",2022-12-30,2,2022,2022-12-30,"During",35.0800018310547,35.5,34.6300010681152,34.9900016784668
"96","ANDE",2022-12-30,2,2022,2023-01-03,"After",35.2599983215332,35.2900009155273,33.9300003051758,33.9700012207031
"97","ANDE",2021-12-31,3,2021,2021-12-30,"Before",39.25,39.560001373291,38.5099983215332,38.5800018310547
"98","ANDE",2021-12-31,3,2021,2021-12-31,"During",38.3800010681152,38.8899993896484,38.2099990844727,38.7099990844727
"99","ANDE",2021-12-31,3,2021,2022-01-03,"After",38.8699989318848,39.7000007629395,38.7099990844727,39.2400016784668
"100","ANDE",2019-12-31,4,2019,2019-12-30,"Before",24.8999996185303,25.3999996185303,24.4400005340576,25.2700004577637
"101","ANDE",2019-12-31,4,2019,2019-12-31,"During",25.0900001525879,25.5100002288818,24.9599990844727,25.2800006866455
"102","ANDE",2019-12-31,4,2019,2020-01-02,"After",25.5799999237061,25.5799999237061,24.5599994659424,25
"103","ANDE",2018-12-31,5,2018,2018-12-28,"Before",29.4599990844727,29.9500007629395,29.2299995422363,29.5900001525879
"104","ANDE",2018-12-31,5,2018,2018-12-31,"During",29.4799995422363,29.9300003051758,28.9799995422363,29.8899993896484
"105","ANDE",2018-12-31,5,2018,2019-01-02,"After",29.5100002288818,31.0499992370605,29.1000003814697,30.9899997711182
"106","AOS",2024-10-31,1,2024,2024-10-30,"Before",76.0699996948242,76.9100036621094,75.7099990844727,75.9100036621094
"107","AOS",2024-10-31,1,2024,2024-10-31,"During",75.4100036621094,75.8300018310547,74.8099975585938,75.0999984741211
"108","AOS",2024-10-31,1,2024,2024-11-01,"After",75.4100036621094,76.3099975585938,75.0299987792969,75.4000015258789
"109","AOS",2023-10-30,2,2023,2023-10-27,"Before",69.6600036621094,69.8399963378906,67.4599990844727,67.8099975585938
"110","AOS",2023-10-30,2,2023,2023-10-30,"During",68.7099990844727,70.0100021362305,67.9700012207031,69.4899978637695
"111","AOS",2023-10-30,2,2023,2023-10-31,"After",69.5599975585938,70.3099975585938,69.370002746582,69.7600021362305
"112","AOS",2022-10-28,3,2022,2022-10-27,"Before",53.0699996948242,53.7999992370605,51.7700004577637,51.9000015258789
"113","AOS",2022-10-28,3,2022,2022-10-28,"During",51.9599990844727,54.4900016784668,51.9199981689453,54.3800010681152
"114","AOS",2022-10-28,3,2022,2022-10-31,"After",54.060001373291,55.1800003051758,53.8800010681152,54.7799987792969
"115","AOS",2021-10-28,4,2021,2021-10-27,"Before",65.7399978637695,66.370002746582,64.0400009155273,64.25
"116","AOS",2021-10-28,4,2021,2021-10-28,"During",67.0299987792969,72.7200012207031,67.0299987792969,70.6900024414062
"117","AOS",2021-10-28,4,2021,2021-10-29,"After",70.7699966430664,73.1399993896484,70.3199996948242,73.0699996948242
"118","AOS",2020-10-29,5,2020,2020-10-28,"Before",52.2599983215332,53.3600006103516,51.439998626709,51.4599990844727
"119","AOS",2020-10-29,5,2020,2020-10-29,"During",53.0099983215332,55,52.3400001525879,53.3800010681152
"120","AOS",2020-10-29,5,2020,2020-10-30,"After",53.310001373291,53.7700004577637,51.0400009155273,51.689998626709
"121","APD",2024-03-28,1,2024,2024-03-27,"Before",238.880004882812,243.110000610352,238.580001831055,243.100006103516
"122","APD",2024-03-28,1,2024,2024-03-28,"During",241.729995727539,243.449996948242,240.779998779297,242.270004272461
"123","APD",2024-03-28,1,2024,2024-04-01,"After",242.929992675781,244.649993896484,241.529998779297,243.419998168945
"124","APD",2023-03-31,2,2023,2023-03-30,"Before",278.309997558594,280.380004882812,277.070007324219,279.720001220703
"125","APD",2023-03-31,2,2023,2023-03-31,"During",278.869995117188,287.549987792969,278.140014648438,287.209991455078
"126","APD",2023-03-31,2,2023,2023-04-03,"After",286.570007324219,289.320007324219,285.519989013672,289.040008544922
"127","APD",2022-03-31,3,2022,2022-03-30,"Before",251.210006713867,253.539993286133,250.619995117188,253.160003662109
"128","APD",2022-03-31,3,2022,2022-03-31,"During",250.740005493164,252.570007324219,249.039993286133,249.910003662109
"129","APD",2022-03-31,3,2022,2022-04-01,"After",251.059997558594,253.25,247.619995117188,248.990005493164
"130","APD",2021-03-31,4,2021,2021-03-30,"Before",283.609985351562,286.25,281.660003662109,282.609985351562
"131","APD",2021-03-31,4,2021,2021-03-31,"During",280.019989013672,284.239990234375,280.019989013672,281.339996337891
"132","APD",2021-03-31,4,2021,2021-04-01,"After",282.200012207031,285.220001220703,279.179992675781,284.899993896484
"133","APD",2020-03-31,5,2020,2020-03-30,"Before",198.470001220703,208.589996337891,197.100006103516,206.529998779297
"134","APD",2020-03-31,5,2020,2020-03-31,"During",202.699996948242,205.880004882812,197.470001220703,199.610000610352
"135","APD",2020-03-31,5,2020,2020-04-01,"After",192,197.399993896484,188.539993286133,189.279998779297
"136","AROW",2024-10-15,1,2024,2024-10-14,"Before",29.0400009155273,29.3099994659424,28.6499996185303,29.1000003814697
"137","AROW",2024-10-15,1,2024,2024-10-15,"During",29.0200004577637,29.8799991607666,29.0200004577637,29.1900005340576
"138","AROW",2024-10-15,1,2024,2024-10-16,"After",29.6100006103516,29.8500003814697,29.5599994659424,29.7900009155273
"139","AROW",2022-11-30,2,2022,2022-11-29,"Before",35.1500015258789,35.3600006103516,34.8499984741211,35.0900001525879
"140","AROW",2022-11-30,2,2022,2022-11-30,"During",35.0499992370605,35.2999992370605,34.2999992370605,35.1699981689453
"141","AROW",2022-11-30,2,2022,2022-12-01,"After",34.9000015258789,35.0800018310547,34.7400016784668,35.0699996948242
"142","AROW",2022-02-28,3,2022,2022-02-25,"Before",33.5242729187012,34.1165046691895,33.262134552002,33.980583190918
"143","AROW",2022-02-28,3,2022,2022-02-28,"During",33.970874786377,33.970874786377,32.9514541625977,33.3495140075684
"144","AROW",2022-02-28,3,2022,2022-03-01,"After",33.2912635803223,33.2912635803223,31.7572822570801,32.4077682495117
"145","AROW",2019-12-02,4,2019,2019-11-29,"Before",34.8446617126465,34.9320373535156,34.6116485595703,34.8155326843262
"146","AROW",2019-12-02,4,2019,2019-12-02,"During",34.5825233459473,34.6601943969727,34.1359214782715,34.3592224121094
"147","AROW",2019-12-02,4,2019,2019-12-03,"After",34.1067962646484,34.2330093383789,33.8349494934082,33.9611663818359
"148","AROW",2018-11-29,5,2018,2018-11-28,"Before",32.1990776062012,33.3207664489746,32.1990776062012,33.2359313964844
"149","AROW",2018-11-29,5,2018,2018-11-29,"During",32.9060211181641,33.9334526062012,32.3310394287109,33.113395690918
"150","AROW",2018-11-29,5,2018,2018-11-30,"After",33.2830619812012,33.4621543884277,32.3216133117676,32.7740592956543
"151","ATO",2024-11-25,1,2024,2024-11-22,"Before",150.740005493164,151.240005493164,149.949996948242,150.050003051758
"152","ATO",2024-11-25,1,2024,2024-11-25,"During",150.259994506836,151.169998168945,149.470001220703,150.179992675781
"153","ATO",2024-11-25,1,2024,2024-11-26,"After",150.679992675781,150.729995727539,149.580001831055,150.330001831055
"154","ATO",2023-11-24,2,2023,2023-11-22,"Before",112.080001831055,113.300003051758,111.319999694824,113.050003051758
"155","ATO",2023-11-24,2,2023,2023-11-24,"During",112.309997558594,112.370002746582,111.330001831055,112
"156","ATO",2023-11-24,2,2023,2023-11-27,"After",112.01000213623,113.110000610352,111.300003051758,112.639999389648
"157","ATO",2022-11-25,3,2022,2022-11-23,"Before",117.48999786377,118.610000610352,116.98999786377,118.580001831055
"158","ATO",2022-11-25,3,2022,2022-11-25,"During",118.330001831055,119.23999786377,118.269996643066,119.160003662109
"159","ATO",2022-11-25,3,2022,2022-11-28,"After",118.529998779297,118.529998779297,116.050003051758,118.069999694824
"160","ATO",2021-11-26,4,2021,2021-11-24,"Before",95.5,95.8499984741211,94.5999984741211,95
"161","ATO",2021-11-26,4,2021,2021-11-26,"During",93.6900024414062,93.9599990844727,92.7099990844727,93.379997253418
"162","ATO",2021-11-26,4,2021,2021-11-29,"After",93.8199996948242,94.2600021362305,92.8099975585938,93.8000030517578
"163","ATO",2020-11-27,5,2020,2020-11-25,"Before",100.419998168945,100.419998168945,98.3600006103516,99.4100036621094
"164","ATO",2020-11-27,5,2020,2020-11-27,"During",98.7200012207031,99.0100021362305,96.6399993896484,96.8199996948242
"165","ATO",2020-11-27,5,2020,2020-11-30,"After",96.8499984741211,97.2600021362305,95.2699966430664,95.8899993896484
"166","ATR",2024-07-25,1,2024,2024-07-24,"Before",146.070007324219,146.630004882812,143.899993896484,144.139999389648
"167","ATR",2024-07-25,1,2024,2024-07-25,"During",142.830001831055,144.050003051758,141.220001220703,141.490005493164
"168","ATR",2024-07-25,1,2024,2024-07-26,"After",143.130004882812,151.289993286133,142.350006103516,146.660003662109
"169","ATR",2023-07-26,2,2023,2023-07-25,"Before",119.680000305176,121.120002746582,119.300003051758,120.559997558594
"170","ATR",2023-07-26,2,2023,2023-07-26,"During",120.160003662109,120.400001525879,118.819999694824,119.949996948242
"171","ATR",2023-07-26,2,2023,2023-07-27,"After",120.059997558594,120.779998779297,118.73999786377,119.139999389648
"172","ATR",2021-04-27,3,2021,2021-04-26,"Before",151.75,152.179992675781,150.899993896484,150.919998168945
"173","ATR",2021-04-27,3,2021,2021-04-27,"During",150.100006103516,151.669998168945,149.479995727539,151.639999389648
"174","ATR",2021-04-27,3,2021,2021-04-28,"After",151.429992675781,153.070007324219,151.050003051758,151.119995117188
"175","ATR",2019-04-30,4,2019,2019-04-29,"Before",111.379997253418,111.720001220703,110.76000213623,111.319999694824
"176","ATR",2019-04-30,4,2019,2019-04-30,"During",110.75,111.809997558594,109.930000305176,111.23999786377
"177","ATR",2019-04-30,4,2019,2019-05-01,"After",112.269996643066,114.660003662109,111.550003051758,112.809997558594
"178","ATR",2018-07-31,5,2018,2018-07-30,"Before",103.519996643066,104.099998474121,99.9400024414062,102.5
"179","ATR",2018-07-31,5,2018,2018-07-31,"During",102.480003356934,103.480003356934,100.779998779297,102.430000305176
"180","ATR",2018-07-31,5,2018,2018-08-01,"After",102.400001525879,102.680000305176,101.410003662109,102.430000305176
"181","AWR",2024-08-16,1,2024,2024-08-15,"Before",82.8199996948242,83.0400009155273,82.0699996948242,82.5500030517578
"182","AWR",2024-08-16,1,2024,2024-08-16,"During",82.1999969482422,82.5599975585938,81.6399993896484,82.3199996948242
"183","AWR",2024-08-16,1,2024,2024-08-19,"After",81.9499969482422,82.6100006103516,81.7600021362305,82.3499984741211
"184","AWR",2023-08-14,2,2023,2023-08-11,"Before",88.4899978637695,89.6600036621094,88.4899978637695,89.120002746582
"185","AWR",2023-08-14,2,2023,2023-08-14,"During",88.7900009155273,88.7900009155273,87.4199981689453,88.120002746582
"186","AWR",2023-08-14,2,2023,2023-08-15,"After",87.9800033569336,88.2799987792969,87.0699996948242,87.0999984741211
"187","AWR",2022-08-12,3,2022,2022-08-11,"Before",88.3099975585938,89.2200012207031,87.4199981689453,87.5899963378906
"188","AWR",2022-08-12,3,2022,2022-08-12,"During",87.6800003051758,88.9700012207031,87.2600021362305,88.9499969482422
"189","AWR",2022-08-12,3,2022,2022-08-15,"After",88.9499969482422,89.8499984741211,88.2699966430664,89.8399963378906
"190","AWR",2021-08-13,4,2021,2021-08-12,"Before",88.6100006103516,89.0699996948242,88.1900024414062,88.7300033569336
"191","AWR",2021-08-13,4,2021,2021-08-13,"During",88.6600036621094,89.5899963378906,88.6100006103516,89.4899978637695
"192","AWR",2021-08-13,4,2021,2021-08-16,"After",89.7099990844727,90.5899963378906,89.5800018310547,90.5100021362305
"193","AWR",2020-08-14,5,2020,2020-08-13,"Before",79.7200012207031,79.9199981689453,78.5899963378906,78.9499969482422
"194","AWR",2020-08-14,5,2020,2020-08-14,"During",78.5199966430664,79.129997253418,78,78.7399978637695
"195","AWR",2020-08-14,5,2020,2020-08-17,"After",78.8499984741211,79.5100021362305,78.3600006103516,78.6699981689453
"196","BANF",2024-09-30,1,2024,2024-09-27,"Before",105.019996643066,106.459999084473,103.790000915527,104.540000915527
"197","BANF",2024-09-30,1,2024,2024-09-30,"During",104.069999694824,105.769996643066,104.040000915527,105.25
"198","BANF",2024-09-30,1,2024,2024-10-01,"After",102.529998779297,103.410003662109,101.540000915527,102.139999389648
"199","BANF",2023-09-28,2,2023,2023-09-27,"Before",86.7399978637695,87.1100006103516,85.5,86.5400009155273
"200","BANF",2023-09-28,2,2023,2023-09-28,"During",86.2799987792969,88.2200012207031,86.2799987792969,87.3600006103516
"201","BANF",2023-09-28,2,2023,2023-09-29,"After",87.9199981689453,87.9300003051758,86.3600006103516,86.7300033569336
"202","BANF",2022-09-29,3,2022,2022-09-28,"Before",91,92.9300003051758,90.2300033569336,91.9400024414062
"203","BANF",2022-09-29,3,2022,2022-09-29,"During",91.3899993896484,91.3899993896484,89.7900009155273,90.2200012207031
"204","BANF",2022-09-29,3,2022,2022-09-30,"After",90.4499969482422,91.3300018310547,89.1600036621094,89.4700012207031
"205","BANF",2021-09-29,4,2021,2021-09-28,"Before",62.25,62.25,60.060001373291,60.2000007629395
"206","BANF",2021-09-29,4,2021,2021-09-29,"During",59.5400009155273,61.1599998474121,59.2799987792969,61.060001373291
"207","BANF",2021-09-29,4,2021,2021-09-30,"After",61.5699996948242,61.5699996948242,60.1199989318848,60.1199989318848
"208","BANF",2020-09-29,5,2020,2020-09-28,"Before",40.939998626709,42,40.939998626709,41.5499992370605
"209","BANF",2020-09-29,5,2020,2020-09-29,"During",41.0900001525879,41.0900001525879,39.8800010681152,40.7799987792969
"210","BANF",2020-09-29,5,2020,2020-09-30,"After",41.0299987792969,41.5800018310547,40.5699996948242,40.8400001525879
"211","BDX",2024-12-09,1,2024,2024-12-06,"Before",221.020004272461,222.080001831055,219.350006103516,220.020004272461
"212","BDX",2024-12-09,1,2024,2024-12-09,"During",219.029998779297,223.880004882812,218.960006713867,223.009994506836
"213","BDX",2024-12-09,1,2024,2024-12-10,"After",223.679992675781,223.679992675781,220.910003662109,221.440002441406
"214","BDX",2023-12-07,2,2023,2023-12-06,"Before",233.740005493164,234.899993896484,232.259994506836,233.449996948242
"215","BDX",2023-12-07,2,2023,2023-12-07,"During",233.240005493164,233.869995117188,232,233.539993286133
"216","BDX",2023-12-07,2,2023,2023-12-08,"After",234.600006103516,234.600006103516,232.139999389648,232.300003051758
"217","BDX",2022-12-08,3,2022,2022-12-07,"Before",245.25,247.240005493164,243.520004272461,246.479995727539
"218","BDX",2022-12-08,3,2022,2022-12-08,"During",245,248.149993896484,244.619995117188,247.970001220703
"219","BDX",2022-12-08,3,2022,2022-12-09,"After",247.240005493164,249.589996337891,246.229995727539,247.600006103516
"220","BDX",2022-06-08,4,2022,2022-06-07,"Before",258.140014648438,260,254.75,257.920013427734
"221","BDX",2022-06-08,4,2022,2022-06-08,"During",256.899993896484,258.470001220703,254.679992675781,254.850006103516
"222","BDX",2022-06-08,4,2022,2022-06-09,"After",253.779998779297,254.660003662109,248.029998779297,248.369995117188
"223","BDX",2021-12-09,5,2021,2021-12-08,"Before",236.682922363281,241.83415222168,234.234146118164,240.439025878906
"224","BDX",2021-12-09,5,2021,2021-12-09,"During",240.107315063477,241.131713867188,238.692687988281,239.131713867188
"225","BDX",2021-12-09,5,2021,2021-12-10,"After",239.687805175781,240.819519042969,237.931701660156,238.9951171875
"226","BEN",2024-12-30,1,2024,2024-12-27,"Before",20.8400001525879,21.0200004577637,20.6200008392334,20.6599998474121
"227","BEN",2024-12-30,1,2024,2024-12-30,"During",20.1200008392334,20.3199996948242,19.9799995422363,20.1100006103516
"228","BEN",2024-12-30,1,2024,2024-12-31,"After",20.2700004577637,20.5100002288818,20.0799999237061,20.2900009155273
"229","BEN",2024-01-02,2,2024,2023-12-29,"Before",29.9200000762939,30.1000003814697,29.6800003051758,29.7900009155273
"230","BEN",2024-01-02,2,2024,2024-01-02,"During",29.2099990844727,29.4099998474121,29,29.2900009155273
"231","BEN",2024-01-02,2,2024,2024-01-03,"After",29,29,28.2600002288818,28.2700004577637
"232","BEN",2022-12-29,3,2022,2022-12-28,"Before",26.8700008392334,27.0699996948242,26.1399993896484,26.1599998474121
"233","BEN",2022-12-29,3,2022,2022-12-29,"During",26.0900001525879,27.0599994659424,26.0499992370605,26.8299999237061
"234","BEN",2022-12-29,3,2022,2022-12-30,"After",26.5,26.6700000762939,26.0799999237061,26.3799991607666
"235","BEN",2021-12-30,4,2021,2021-12-29,"Before",34,34.2000007629395,33.7700004577637,33.8499984741211
"236","BEN",2021-12-30,4,2021,2021-12-30,"During",33.6399993896484,33.9300003051758,33.3899993896484,33.439998626709
